"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2954291950295","24.1283971195707","25.0320982756864","25.8494836957265","26.6268256204069","27.4795575844523","27.9005367215997","28.3426172832247","28.7101588841619","29.0953681070747","30.8761905686925","32.7280359485074","34.5839730658717","35.9655039026159","37.4060312461386","37.4046434865428","36.8461872370141","36.2592812005301","35.6789751244939","35.0663932445795","34.7828769576338","34.471888062346","34.1119273956035","35.0520042486718","35.9818939692624","36.8757281675599","38.9833720346684","40.0383748226012","41.0980778391277","41.4885766360498","42.0864720361791","43.7922328425863","43.8495655793179",
"Bulgaria","BGR","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.3221460536235","41.3497149581892","42.8932733029002","44.2008236571027","45.2744186046512","46.8880884733663","48.8600026092837","50.3188870376916","52.180971870537","53.9730190156085","57.5390368386477","56.6318610406929","56.7308643170557","56.3376483460086","56.8192922372523","57.4194306605801","56.9553685667165","56.1012141020922","57.6739381644929","60.2057777786408","61.7662029438732","62.2380791152315","63.1531729460259","62.8768513291939","63.2491845626966","63.4566187965343","63.0866699268238","63.3081151838266","63.3564789835496","63.0931951186621","62.8763033610737","63.5513493016495","64.7353858330036",
"Bahrain","BHR","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.040349152133","69.1388118036284","69.0950644651993","69.287068816901","69.4871493064916","69.7145149772893","69.9148668215405","70.1041555701409","70.1462874054805","69.9016254851478","69.8644531474106","69.8344392796811","69.5529457809713","68.6763965777554","67.6344603789386","66.3727156004213","65.3168702738263","64.2287262253482","64.3156713867999","63.1930285946127","63.8648983022755","64.0604032200737","63.9766757471795","63.7421592181504","63.7681612370151","63.635244696027","63.5961711404182","63.7642492195812","63.9437569553168","64.0746387770886","64.0223881681219","64.2449184115657","64.4628563025691",
"Bahamas, The","BHS","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.4288232562898","79.4483303694922","82.2919958466886","81.6565316740229","81.4161666078362","80.206289237903","81.5145141501166","81.1791750307583","79.2495238095238","78.9060750105771","78.7514353424055","79.5933071811704","81.1514922740858","79.4964615728626","78.6806553948885","79.1902599942186","79.7400278940028","80.8083695717906","81.055785435284","82.2440733681075","83.3646172867259","83.7742096954295","84.3665017163747","84.4313169923284","84.6737865584029","84.7078169783698","84.6827845181893","84.8870566424355","84.9958040616683","85.1584781509231","84.7789762266869","84.9022998034154","84.9391485444927",
"Bosnia and Herzegovina","BIH","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.2828287552526","41.5795283778105","41.8991415448343","42.3483140719716","42.4831757345121","42.4112339384526","42.6135079738838","42.749987819464","43.5522098818213","43.889974715746","44.9309594009785","45.8497709947428","46.7037339342597","47.411245620363","48.0021778542911","48.7012405317797","47.6046590292418","46.9504912612583","47.300090832211","49.4463665802191","51.5064551404601","49.0818531385266","51.3187249130377","52.9177013522881","52.6450822340079","50.7665276351967","51.6232066543261","52.1406357660292","50.3257248869155","54.2085006121207","51.9539774534797","52.1577214448031","51.7978496597179",
"Belarus","BLR","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5238874431934","38.2226889827323","39.7216108500387","41.6404801838147","42.7068128428414","43.7637865509936","44.770192697618","45.7902846073097","46.7329426664401","47.5260190535059","48.4687183063983","49.2292822023408","50.002189373099","50.6411813773291","51.3343214578783","51.9565951522","52.6102439501353","53.1464449266942","53.9619005075166","54.5961078711883","55.1710426456946","55.8508058568682","56.5685153252419","57.2794419666765","58.1553552278179","58.7157287307322","58.5311907828334","58.0564012436132","58.5557571672974","58.5259390914837","58.641765596637","58.961879968408","58.912251239641",
"Belize","BLZ","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.862337464542","53.4311196285103","53.8378766140603","54.694506974848","55.0344189869516","54.3570852998734","51.8466430231136","57.0011058310171","55.540391872885","56.4299474150049","57.8783132235248","59.1214691278835","60.5051638462067","61.4958632101489","62.5631911112057","63.0257597102033","63.632790405614","64.1672489243555","64.9960547197078","65.6735541072664","66.0964115048979","66.7752159099913","67.6069251104014","65.4405437335006","66.4962582211032","65.7320021579428","66.8864365092651","65.0871877243578","67.4350733952923","63.4940105894281","65.7666946714529","66.1393057763003","66.5372243990877",
"Bermuda","BMU","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.5728906261733","37.8758636823153","38.17105225472","38.4635119157531","38.791705632898","39.2307467603503","39.6034688232093","40.1504047086767","41.138315147208","42.4424078289623","40.111716138469","39.8600837237281","44.3971550350439","44.397333072716","41.9966669252759","43.0407438323221","44.2299693722565","48.7468201118572","49.2398697425752","49.3594139899624","49.1223213836523","51.3096492921015","50.5240481214727","48.3986257173442","49.3737739301753","49.3776660353045","49.3746385930162","49.3484605831127","51.8670456821169","51.937704889262","51.9209895454823","54.6787329488351","55.1117157752887",
"Brazil","BRA","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.7062890399488","57.5987593559843","58.1120835562429","58.8782080046929","59.4651178743216","60.4885857364249","60.6168795737937","61.3808845417787","61.6409747897049","62.0258993207135","62.2683097969091","61.7478043587459","62.1468328758186","61.5685423041499","61.7273202635183","62.7753961997719","63.1514299410881","63.2670598129197","64.2291405068203","65.2175178380907","66.082848750948","66.3315362480176","66.3183955687698","67.1198567782806","67.8477957821645","68.8324484876483","69.8641001754288","70.4130132916369","70.7200961400702","70.4294478200615","69.7709144906276","70.7768556305741","71.6256129197192",
"Barbados","BRB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3592934756594","74.0887212678325","75.3670362129442","75.8295487668425","75.7960542627422","76.1658510334157","75.5307505284529","74.6917680605285","74.2811993837159","75.891601190615","76.1648926658218","77.2164157711647","77.8376495180583","79.238526199074","80.6053512696672","79.8755932427179","79.9958296183382","79.4810742167771","78.7713521300679","77.8876374581247","78.3575159174152","78.3590703007717","78.2251120809952","78.6955390220753","77.7495547355843","77.8773811429486","77.5902494973032","78.6635149440956","80.2535980039949","80.7262191450933","80.5183279263154","80.779706552474","80.8057708428313",
"Brunei Darussalam","BRN","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.8146373698992","73.9314873979411","74.4171484448714","74.9005239074209","74.6486659722779","75.0820738354807","75.6042358337143","76.1070619664324","76.9671330489596","77.1105385875587","77.2021850730551","77.5399117554769","77.8721465746415","78.2592008187982","78.6319389007375","78.9102123144726","79.3792680339665","79.6715113646654","80.1738043278059","80.4729055395313","80.6022495602546","80.8460354973274","81.2020826926986","81.6372500617131","81.9636839656169","82.2994938061201","82.5140481404865","79.5349648993523","77.2833354056872","74.9481913865475","75.0265167831552","77.0126064485951","77.0940676231838",
"Bhutan","BTN","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3581053320029","22.4963173149206","22.7209735883466","22.8177992770954","23.0905282965952","23.340718879789","23.6001450649515","23.7929878035838","24.0894046533783","24.5266295707472","24.8808498862309","25.2690760672301","25.7974995095329","26.3445231332362","27.336633363507","29.6494623867213","31.3777749200276","33.0418376491675","34.7237189711126","36.4408441984344","34.1635724976699","33.8159411623276","32.6974992467611","32.5268112837048","32.3530735780031","32.620543082056","32.8469081378387","32.9435003176095","33.4272483522588","35.225445905875","34.5322245322245","40.8044752116785","40.9314286449025",
"Botswana","BWA","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.028586643732","58.0796684548982","58.0224420939023","57.9763697811259","58.3931198641197","59.1324307102692","58.3564718690026","56.9853476747397","58.0070522036077","58.890206130933","57.1694151397915","56.7805199362479","56.1448979190819","56.1347129084391","55.8785297598918","55.4076158619838","56.0307329243445","56.5058334532075","56.7975773717449","58.1316411981507","59.3872880382437","60.5337681406962","61.8762545538273","63.0931925721974","64.1134882088214","65.3104127592395","66.4334867852962","67.5342876647152","68.6023355215652","65.5169163101407","66.4549843466385","66.6615060802766","66.2105825031668",
