Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Population ages 0-14, male [SP.POP.0014.MA.IN]","Population ages 0-14, female [SP.POP.0014.FE.IN]","Population ages 0-14, total [SP.POP.0014.TO]","Population, male (% of population, ages 0-14)","Population, female (% of population, ages 0-14)"
2023,YR2023,Poland,POL,36687353,48.46055413,51.53944587,2843515,2695089,5538604,51.33992248,48.66007752
2023,YR2023,Portugal,PRT,10578174,47.63600163,52.36399837,697975,665937,1363912,51.17448926,48.82551074
2023,YR2023,Post-demographic dividend,PST,1119236161,49.33823866,50.66176134,87400795,82907914,170308709,51.3190403,48.6809597
2023,YR2023,Pre-demographic dividend,PRE,1078224044,49.96759704,50.03240296,230681350,225544610,456225959,50.56296018,49.43704003
2023,YR2023,Puerto Rico,PRI,3205691,47.11794059,52.88205941,197755,187085,384839,51.38642393,48.61383592
2023,YR2023,Qatar,QAT,2656032,71.51625904,28.48374096,206924,195746,402670,51.3879852,48.6120148
2023,YR2023,Romania,ROU,19059479,48.43616213,51.56383787,1547749,1478223,3025972,51.14882094,48.85117906
2023,YR2023,Russian Federation,RUS,143826130,46.43485242,53.56514758,12934132,12256988,25191120,51.34401329,48.65598671
2023,YR2023,Rwanda,RWA,13954471,48.74715432,51.25284568,2645488,2619724,5265212,50.24466251,49.75533749
2023,YR2023,Samoa,WSM,216663,50.34200421,49.65799579,43202,40707,83909,51.48672967,48.51327033
2023,YR2023,San Marino,SMR,33860,49.16399858,50.83600142,2181,2117,4299,50.73272854,49.24401023
2023,YR2023,Sao Tome and Principe,STP,230871,49.73188607,50.26811393,44437,43941,88378,50.28061282,49.71938718
2023,YR2023,Saudi Arabia,SAU,33264292,60.65419339,39.34580661,4089314,3926530,8015844,51.01538902,48.98461098
2023,YR2023,Senegal,SEN,18077573,50.87966731,49.12033269,3628342,3354952,6983294,51.95745733,48.04254267
2023,YR2023,Serbia,SRB,6623183,47.49110502,52.50889498,479150,471296,950446,50.41317445,49.58682555
2023,YR2023,Seychelles,SYC,119773,55.18206188,44.81793812,12318,11804,24122,51.06541746,48.93458254
2023,YR2023,Sierra Leone,SLE,8460512,49.86757303,50.13242697,1641926,1618055,3259980,50.36613722,49.63389346
2023,YR2023,Singapore,SGP,5917648,51.68996365,48.31003635,357550,339992,697541,51.25863569,48.74150767
2023,YR2023,Sint Maarten (Dutch part),SXM,42749,48.73450292,51.26549708,3597,3055,6652,54.07396272,45.92603728
2023,YR2023,Slovak Republic,SVK,5426740,48.82544665,51.17455335,442411,420830,863241,51.24999855,48.75000145
2023,YR2023,Slovenia,SVN,2120461,50.2144075,49.7855925,162389,154193,316581,51.29461338,48.70570249
2023,YR2023,Small states,SST,20253539,51.23362424,48.76637576,2556302,2455492,5011795,51.00571751,48.99426253
2023,YR2023,Solomon Islands,SLB,800005,51.1338665,48.8661335,154271,144635,298906,51.61187798,48.38812202
2023,YR2023,Somalia,SOM,18358615,50.10088724,49.89911276,4347565,4222000,8569565,50.73262178,49.26737822
2023,YR2023,South Africa,ZAF,63212384,48.64628583,51.35371417,8277850,8211036,16488886,50.20260314,49.79739686
2023,YR2023,South Asia,SAS,1951539835,51.16915401,48.83084599,276113618,256172494,532286112,51.8731584,48.1268416
2023,YR2023,South Asia (IDA & IBRD),TSA,1951539835,51.16915401,48.83084599,276113618,256172494,532286112,51.8731584,48.1268416
2023,YR2023,South Sudan,SSD,11483374,49.19102173,50.80897827,2314279,2262022,4576301,50.57095239,49.42904761
2023,YR2023,Spain,ESP,48347910,49.09966234,50.90033766,3299682,3110598,6410281,51.47484174,48.52514266
2023,YR2023,Sri Lanka,LKA,22037000,48.38947123,51.61052877,2509545,2418209,4927754,50.92675081,49.07324919
2023,YR2023,St. Kitts and Nevis,KNA,46758,47.92335001,52.07664999,4267,4306,8573,49.7725417,50.2274583
2023,YR2023,St. Lucia,LCA,179285,49.41796581,50.58203419,16266,15773,32039,50.76937482,49.23062518
2023,YR2023,St. Martin (French part),MAF,27515,46.72723969,53.27276031,2928,2887,5814,50.36119711,49.65600275
2023,YR2023,St. Vincent and the Grenadines,VCT,101323,50.98991335,49.01008665,11142,10792,21933,50.80016414,49.2043952
2023,YR2023,Sub-Saharan Africa,SSF,1259902353,49.8433211,50.1566789,261277241,255707190,516984430,50.53870597,49.46129422
2023,YR2023,Sub-Saharan Africa (excluding high income),SSA,1259782580,49.84281352,50.15718648,261264923,255695386,516960308,50.5386814,49.4613188
2023,YR2023,Sub-Saharan Africa (IDA & IBRD countries),TSS,1259902353,49.8433211,50.1566789,261277241,255707190,516984430,50.53870597,49.46129422
2023,YR2023,Sudan,SDN,50042791,49.60074269,50.39925731,10307452,10034658,20342110,50.6705155,49.3294845
2023,YR2023,Suriname,SUR,628886,49.98505293,50.01494707,82997,80175,163173,50.86441997,49.13496718
2023,YR2023,Sweden,SWE,10536632,50.35807252,49.64192748,934940,882606,1817546,51.43968846,48.56031154
2023,YR2023,Switzerland,CHE,8888093,49.66113192,50.33886808,685016,649175,1334191,51.3431735,48.6568265
2023,YR2023,Syrian Arab Republic,SYR,23594623,49.9926657,50.0073343,3663414,3494139,7157554,51.18248497,48.81750106
2023,YR2023,Tajikistan,TJK,10389799,49.09952541,50.90047459,1914669,1878255,3792924,50.48002544,49.51997456
2023,YR2023,Tanzania,TZA,66617606,49.55719139,50.44280861,14367805,14093831,28461636,50.48130403,49.51869597
2023,YR2023,Thailand,THA,71702435,48.74312359,51.25687641,5569461,5250206,10819668,51.47534102,48.52464974
2023,YR2023,Timor-Leste,TLS,1384286,50.4067801,49.5932199,240864,232975,473838,50.83256303,49.16764801
2023,YR2023,Togo,TGO,9304337,50.31691135,49.68308865,1872931,1837875,3710807,50.47233661,49.52763644
2023,YR2023,Tonga,TON,104597,47.41053759,52.58946241,19256,18006,37261,51.67869891,48.32398486
2023,YR2023,Trinidad and Tobago,TTO,1367510,49.45529841,50.54470159,125488,121033,246521,50.90357414,49.09642586
2023,YR2023,Tunisia,TUN,12200431,49.4523923,50.5476077,1534722,1446441,2981164,51.48062971,48.51933674
2023,YR2023,Turkiye,TUR,85325965,49.93387514,50.06612486,9491481,9143479,18634959,50.93373696,49.0662684
2023,YR2023,Turkmenistan,TKM,7364438,49.03767932,50.96232068,1191356,1140995,2332351,51.07961881,48.92038119
2023,YR2023,Turks and Caicos Islands,TCA,46198,50.07359626,49.92640374,3657,3836,7493,48.80555185,51.19444815
2023,YR2023,Tuvalu,TUV,9816,51.15118174,48.84881826,1687,1513,3200,52.71875,47.28125
2023,YR2023,Uganda,UGA,48656601,49.57726496,50.42273504,10769339,10609428,21378767,50.37399491,49.62600509
2023,YR2023,Ukraine,UKR,37732836,46.49620294,53.50379706,2780769,2613343,5394112,51.55193292,48.44806708
2023,YR2023,United Arab Emirates,ARE,10483751,64.01232052,35.98767948,868454,844480,1712934,50.69979345,49.30020655
2023,YR2023,United Kingdom,GBR,68350000,49.22995895,50.77004105,6101622,5797527,11899149,51.27780146,48.72219854
2023,YR2023,United States,USA,334914895,50.24748125,49.75251875,30230694,28696368,58927062,51.30188571,48.69811429
2023,YR2023,Upper middle income,UMC,2816864459,50.27157754,49.72842246,293104119,269771073,562875186,52.0726666,47.92733446
2023,YR2023,Uruguay,URY,3388081,48.4938229,51.5061771,324512,308565,633077,51.25948344,48.74051656
2023,YR2023,Uzbekistan,UZB,35652307,50.43772904,49.56227096,5701155,5305091,11006246,51.79926925,48.20073075
2023,YR2023,Vanuatu,VUT,320409,50.4973331,49.5026669,63746,59975,123721,51.5239935,48.4760065
2023,YR2023,"Venezuela, RB",VEN,28300854,49.42786707,50.57213293,3798528,3603213,7401740,51.31939247,48.68062104
2023,YR2023,Viet Nam,VNM,100352192,48.97847074,51.02152926,12206339,11482647,23688985,51.52748841,48.47251581
2023,YR2023,Virgin Islands (U.S.),VIR,104917,47.79174105,52.20825895,9009,8322,17331,51.98199758,48.01800242
2023,YR2023,West Bank and Gaza,PSE,5165775,49.69882803,50.30117197,1009117,973003,1982120,50.91099429,49.08900571
2023,YR2023,World,WLD,8061876001,50.29042899,49.70957101,1039351496,979861200,2019212681,51.47310661,48.52689413
2023,YR2023,"Yemen, Rep.",YEM,39390799,50.64718794,49.35281206,8317474,7921823,16239297,51.21819005,48.78180995
2023,YR2023,Zambia,ZMB,20723965,49.48979599,50.51020401,4346173,4348592,8694765,49.98608933,50.01391067
2023,YR2023,Zimbabwe,ZWE,16340822,47.61653973,52.38346027,3398136,3354429,6752564,50.32364003,49.67637478
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,,,,
